media_container,best_practice,is_active
search,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Deploy to capture existing demand and high-intent bottom-funnel queries, not to create awareness. Search harvests intent rather than generating it."", ""Always run a brand campaign to defend SERP real estate from competitor conquesting and to cheaply protect owned demand, even when organic ranks #1."", ""Use non-brand/generic terms for prospecting and category demand capture, but expect materially higher CPCs and lower conversion rates than brand."", ""Pair with a strong landing page and clear conversion tracking; search underperforms when sent to a homepage or a page with weak message match."", ""Consider Performance Max for retail/lead-gen advertisers wanting cross-inventory automation, but keep a discrete brand-exclusion so PMax does not cannibalise brand search.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Structure match types deliberately: phrase and exact for control on core terms, broad only with Smart Bidding and a robust conversion signal to guide it."", ""Build a rigorous negative keyword list (campaign and account level, plus shared lists) and review the search terms report weekly to prune waste and irrelevant intent."", ""Separate brand and non-brand into distinct campaigns so budgets, bids and reporting are not blended and blended ROAS is not flattering."", ""Layer audiences (in-market, remarketing, customer match) in Observation mode first to read performance before shifting to Targeting."", ""Set location and language targeting to AU (and specific states/metros where relevant) and exclude locations that generate junk traffic.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Use Responsive Search Ads with 12-15 headlines and 4 descriptions; pin only where legally or structurally necessary as pinning limits Google's combination testing."", ""Populate all relevant assets (extensions): sitelinks, callouts, structured snippets, call, price, promotion and location — they lift CTR and Ad Rank at no extra CPC."", ""Ensure keyword-to-ad-to-landing-page message match; strong relevance is the biggest lever on Quality Score and therefore on CPC."", ""Monitor Ad Strength as a directional signal only — 'Excellent' is not a KPI; conversions and CPA/ROAS are."", ""Mirror the structure on Microsoft Ads to pick up incremental Bing/Edge inventory, importing from Google then re-optimising rather than a raw copy.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Match the bid strategy to the goal: tCPA for lead-gen, tROAS for ecommerce with revenue values, Maximise Conversions/Value where a fixed budget must be spent."", ""Give Smart Bidding enough conversion volume (rule of thumb ~30+ conversions/30 days per campaign) before setting aggressive targets, or bids will be volatile."", ""Improve Quality Score by lifting expected CTR, ad relevance and landing page experience — it directly lowers what you pay per click."", ""Set targets, then adjust them gradually (10-15% at a time); step-changes reset the learning phase and cause performance swings."", ""Watch impression share lost to budget vs rank to diagnose whether to add budget or improve competitiveness.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: CPA and conversion volume for lead-gen; ROAS and revenue for ecommerce. CTR and CPC are diagnostics, not outcomes."", ""Report brand and non-brand separately — brand CPA/ROAS will always look strong and can mask weak non-brand efficiency."", ""Use conversion tracking with accurate values and, where possible, enhanced conversions and offline conversion imports to feed bidding better signal."", ""Track search impression share and top/absolute-top rates to understand visibility ceilings and competitive pressure."", ""Attribute with a data-driven model rather than last-click where volume allows, so upper-funnel generic terms get fair credit.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Running broad match without Smart Bidding or negatives — a fast way to burn budget on irrelevant queries."", ""Blending brand and non-brand in one campaign, producing a flattering blended CPA that hides non-brand inefficiency."", ""Over-pinning RSA assets and starving Google's testing, or leaving extensions/assets empty and forfeiting free CTR uplift."", ""Chasing Ad Strength or Quality Score as vanity metrics instead of business outcomes."", ""Letting Performance Max absorb brand traffic and claim credit; always add brand as an account-level negative/exclusion.""]}]}",true
socialmedia,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Strong across the funnel — awareness/reach through to conversion — but pick platforms by where the target audience genuinely spends time, not by habit."", ""Meta (Facebook/Instagram) for broad AU reach and performance; TikTok for younger skews and culture-led creative; LinkedIn for B2B and professional targeting; Pinterest for discovery/retail intent; Snap for youth reach."", ""Best for visually driven, thumb-stopping storytelling; avoid using it as a text-heavy direct-response placement."", ""Use for retargeting site visitors and CRM audiences where first-party data exists, and for lookalike-based prospecting at scale.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Lead with broad targeting plus strong creative on Meta and let the algorithm find buyers; over-narrow interest stacking often raises CPMs without improving quality."", ""Build value-based lookalikes and Custom Audiences from purchaser/CRM data; refresh source lists regularly so they do not decay."", ""On LinkedIn, target by job title, seniority, function, company size or industry, and use company lists for ABM — but keep audiences above ~50k to avoid thin delivery."", ""Apply exclusions (recent converters, existing customers) to stop paying to re-acquire people already in the funnel."", ""Expect iOS signal loss to reduce audience precision and event fidelity — implement the Conversions API (server-side) to recover matched conversions.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Design creative per placement: 9:16 vertical for Reels/Stories/TikTok/Snap, 1:1 or 4:5 for in-feed; never letterbox a 16:9 asset into a vertical slot."", ""Design for sound-off with captions/subtitles baked in, but reward sound-on; hook within the first 1-2 seconds."", ""Ship multiple creative variants per ad set so the platform can optimise; creative is now the primary performance lever, not micro-targeting."", ""Match creative tone to platform: native, UGC-style and creator-led content outperforms polished TVC cut-downs on TikTok and Reels."", ""Follow current safe zones so text/CTAs are not obscured by UI overlays on Stories/Reels/TikTok.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Align objective to bid strategy: reach/awareness objectives for upper funnel, sales/leads with the correct optimisation event for lower funnel — never optimise a sales campaign to link clicks."", ""Use Advantage+ Shopping/Sales campaigns and Advantage+ Audience for consolidated, automation-led performance, and CBO (Advantage campaign budget) to let spend flow to winning ad sets."", ""Consolidate ad sets to exit the learning phase faster; aim for ~50 optimisation events per ad set per week for stable delivery."", ""Apply frequency caps on awareness/reach buys (typically 2-4/week) to avoid wear-out; monitor frequency on prospecting before it erodes CTR."", ""Give changes time — avoid daily edits that reset learning; test at the campaign or creative level with adequate budget and duration.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Set KPIs by objective: CPM/reach/frequency and video views up top; CPC/CTR mid; CPA/ROAS at the bottom."", ""Treat in-platform ROAS as directional and reconcile against GA4/CRM and incrementality (lift studies, geo tests) — platforms self-attribute generously post-iOS."", ""Implement CAPI and rely on modelled/matched conversions; use a 7-day-click/1-day-view window as a sensible default and keep it consistent."", ""Watch creative-level metrics (hook rate, hold rate, thumbstop) to diagnose why an ad wins or loses, not just campaign totals."", ""Run brand lift studies for awareness campaigns where reach and recall — not clicks — are the goal.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Over-segmenting audiences and fragmenting budget so no ad set exits learning; broad + strong creative usually wins."", ""Re-using one 16:9 asset across all placements instead of building per-placement creative."", ""Ignoring iOS signal loss — running without CAPI and then trusting under-reported or over-attributed in-platform numbers."", ""Letting frequency climb unchecked on prospecting, driving up CPMs and ad fatigue."", ""Editing live campaigns constantly and resetting the learning phase, then blaming the algorithm.""]}]}",true
digiaudio,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use for reach, frequency and brand-building in screen-free moments — commutes, workouts, chores — where audio has undivided share of ear."", ""Strong companion to video/social for extending reach efficiently and adding an intimate, one-to-one voice to the plan."", ""Covers streaming music (Spotify, iHeart), commercial radio streaming/simulcast, and podcasts; choose the environment by audience and context."", ""Not a direct-response workhorse on its own — pair with a companion banner and a memorable, verbal CTA (URL/brand mention) to drive any action.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Target on Spotify by demo, playlist/genre, mood/activity context, and first-party segments; use podcast category/show targeting for contextual relevance."", ""Use commercial radio streaming for broad AU reach and local/state targeting where a metro or regional skew is required."", ""Layer device/daypart signals (e.g. drive-time, workout, evening) to reach listeners in the right mindset."", ""For podcasts, decide between broad programmatic category buys (scale) and specific premium shows (context and host affinity).""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Standard audio spots are 15s or 30s; write for the ear with a clear brand mention early and a single, spoken call to action."", ""Always attach a clickable companion banner (300x250 / display tile) to add a visual layer and a tappable path when the screen is in view."", ""Use dynamic/personalised audio where available to swap location, weather, time or product messaging into a single base recording."", ""Sonic branding (a consistent audio logo/mnemonic) materially aids recall — brief creative to include one."", ""Meet each platform's spec (Spotify: -14 LUFS loudness, defined file formats and durations) to avoid rejection or re-encoding.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Note the billing model per partner: Spotify AU bills audio on a Cost-Per-Completed-Listen (CPCL) basis, so you pay for fully heard spots, not served impressions."", ""Commercial radio streaming and many podcasts trade on CPM; premium/host-read podcast placements are often fixed-cost or CPM at a premium."", ""Buy programmatically (via DSP/PMP) for scale and frequency management across audio SSPs, or direct for premium shows and host-reads."", ""Set frequency caps across the audio buy so a listener is not saturated with the same spot in one session."", ""Optimise creative length and rotation on listen-through and completion signals; refresh audio to counter wear-out.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: reach, frequency, and listen-through/completion rate; for Spotify CPCL, effective cost per completed listen is the efficiency metric."", ""Companion banner CTR and audio-attributed site visits give a directional response read, but audio is chiefly an upper-funnel channel."", ""Use brand lift or audio-specific studies (where offered) to measure recall and consideration rather than clicks."", ""Be aware of an AU measurement gap: cross-platform audio attribution is immature, so triangulate with pixel-based visits, promo codes and lift studies.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Repurposing a TV VO as an audio spot without an audio-first rewrite and clear brand mention."", ""Running audio with no companion banner and no verbal CTA, then expecting measurable response."", ""Confusing CPCL (completed listens) with CPM impressions when comparing partner costs — normalise before benchmarking."", ""Leaving frequency uncapped across streaming and podcasts, saturating heavy listeners."", ""Judging audio purely on clicks and under-valuing its reach and recall contribution.""]}]}",true
digidisplay,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use for cost-efficient reach, retargeting and always-on presence; display is strong at keeping a brand front-of-mind cheaply."", ""Best-in-class for retargeting warm site/CRM audiences down the funnel where the creative can carry a specific offer."", ""Useful for prospecting against contextual and audience segments, but set realistic expectations — display CTRs are low and it is largely a view-through channel."", ""Prefer direct/PMP deals with known publishers when brand safety and premium context matter more than raw reach.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Split prospecting and retargeting into separate line items with separate creative, caps and measurement — never blend them."", ""Use contextual and first-party/PMP audiences as third-party cookies deprecate; lean on publisher data and seller-defined audiences."", ""For retargeting, tier by recency and intent (all visitors vs cart abandoners) and exclude recent converters."", ""Apply suppression lists so existing customers and converters are not re-served prospecting inventory.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Build the core IAB standard sizes: 300x250, 728x90, 300x600, 320x50 and 320x100 (mobile); 300x250 and 300x600 typically deliver the most inventory."", ""Ship responsive HTML5 plus static fallbacks; keep initial load within IAB weight limits so ads render fast and count as viewable."", ""Include a clear logo, single message and prominent CTA; the unit is small, so one idea per frame."", ""Use dynamic creative (DCO) for retargeting to show relevant products/offers based on browsing behaviour.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Buy via PMP/preferred deals for quality and transparency, or open exchange for scale and price — weight the mix to the campaign's safety needs."", ""Set frequency caps (a common starting point ~3/day, 10-15/week) to control cost and avoid annoyance; tighten for retargeting."", ""Optimise toward viewable, in-view inventory and away from low-viewability, cheap placements that never get seen."", ""Maintain domain allow/block lists and category exclusions; prune consistently poor-performing or unsafe domains.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Aim for viewability above 70% (IAB standard = 50% of pixels for 1s), verified by an independent vendor (DoubleVerify or IAS), not the platform alone."", ""Track brand safety, invalid traffic (IVT) and ad fraud rates through the verification vendor and act on breaches."", ""Judge on viewable CPM, view-through conversions and assisted conversions rather than click-through alone."", ""Use post-view attribution carefully and validate incremental contribution rather than crediting every view-through.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Chasing cheap CPMs into low-viewability, high-fraud inventory that is never actually seen."", ""Relying on platform-reported viewability instead of independent DV/IAS verification."", ""Blending prospecting and retargeting so retargeting's strong numbers flatter the whole line."", ""Shipping only one or two sizes and missing the bulk of available inventory."", ""Leaving frequency uncapped and over-serving the same users across the open exchange.""]}]}",true
digivideo,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use for engaging, sight-sound-motion storytelling across web, in-app and social video inventory — stronger emotional impact than display."", ""Deploy for awareness and consideration where completed views and attention matter more than immediate clicks."", ""Good for extending TV/BVOD reach into lighter TV viewers and younger, digital-first audiences."", ""Use short bumpers for frequency/reminders and longer skippable formats for narrative and consideration.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Target by audience segment, contextual channel/content and first-party data; use YouTube's affinity/in-market and custom segments where relevant."", ""Separate prospecting and retargeting; retarget video engagers (25/50/75% viewers) with sequential messaging."", ""Layer demographic and geo controls for AU, and exclude sensitive content categories for brand safety."", ""Cap frequency across the video buy to protect completion rates and avoid fatigue.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Choose format by goal: 6s non-skippable bumpers for reach/reminder, skippable in-stream for consideration, non-skippable 15s for a guaranteed message."", ""Front-load branding and the key message in the first 5 seconds so value lands before a skip is possible."", ""Design sound-on but caption for sound-off environments; many views start muted."", ""Cut vertical/square versions for mobile and social feeds rather than forcing a single 16:9 master everywhere."", ""Keep bumpers to a single, punchy idea — 6 seconds does not fit a full narrative.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Buy skippable on CPV (pay after 30s/completion) and non-skippable/bumpers on CPM; match the model to the objective."", ""Optimise skippable toward view rate and cost-per-completed-view; optimise reach buys toward unique reach and CPM."", ""Use PMP/direct for premium, brand-safe video and open exchange only where viewability and safety can still be enforced."", ""Rotate multiple creative lengths and refresh to counter completion decay over a flight.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: video completion rate (VTR/VCR) and viewable completion rate — a completion that was never in-view is not a real view."", ""Track cost-per-completed-view, view rate and average watch time; use verified viewability (DV/IAS) on completions."", ""Measure audio-on rate where available, since sound-off dilutes message delivery."", ""For awareness, run brand lift (recall, consideration) rather than judging on clicks.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Counting completions that were out-of-view or auto-played muted as genuine engaged views."", ""Running a 16:9 TVC cut-down across all placements including vertical mobile feeds."", ""Burying the brand until the end of a skippable ad, so skippers never see it."", ""Ignoring sound-off reality and shipping creative that only works with audio."", ""Optimising to cheap CPMs that tank completion and viewability.""]}]}",true
bvod,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use for premium, brand-safe, full-screen TV-quality reach in a lean-back environment; the AU BVOD players are 7plus, 9Now, 10 Play and SBS On Demand."", ""Ideal for extending linear TV reach into lighter and younger TV viewers, and for guaranteed non-skippable brand exposure."", ""Prioritise big-screen/CTV delivery where co-viewing and impact are highest; complement with mobile/tablet for incremental reach."", ""Strong upper-funnel awareness and consideration channel; not a click-driven performance channel.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Use broadcaster first-party login/registration data for demo, geo and content-genre targeting — a key BVOD advantage over open web video."", ""Target by content/genre and programme context (news, sport, drama, reality) to align brand with the right environment."", ""Layer AU geo down to state/metro where a regional plan requires it."", ""Account for co-viewing on the big screen: one impression may represent multiple viewers, which affects true reach and effective frequency.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Standard spots are 15s and 30s, served full-screen and non-skippable in-stream — the viewer must watch to continue."", ""Supply broadcast-grade video at the required resolution/bitrate; BVOD demands higher quality than open web video."", ""Deliver clean TVC masters (audio levels to broadcast spec) since these run in a lean-back, sound-on, big-screen context."", ""Where a CTV/QR interactive layer is supported, use it to add a response path to an otherwise non-clickable big-screen impression.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""BVOD is typically traded on CPCV (cost per completed view) given non-skippable full-screen delivery, so you pay for guaranteed completions."", ""Buy direct with broadcasters or via their programmatic/PMP pipes; premium inventory and data usually sit behind direct/PMP deals."", ""Implement cross-device, cross-broadcaster frequency capping — the single biggest BVOD risk is over-delivery when each publisher caps in isolation."", ""Where possible, manage frequency at a plan level (DSP or independent tool) so a viewer is not hit repeatedly across 7plus, 9Now and 10 Play.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: completed views, unique reach and effective frequency; CPCV is the core efficiency metric."", ""Deduplicate reach and frequency across broadcasters and with linear TV to understand true incremental reach."", ""Adjust reported reach for co-viewing where big-screen delivery dominates, so audience is not understated."", ""Use brand lift and reach curves to evaluate awareness contribution rather than clicks or CTR.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Uncapped frequency across multiple BVOD publishers causing serious over-delivery to the same viewers."", ""Treating each broadcaster's siloed cap as sufficient instead of managing a single cross-broadcaster cap."", ""Ignoring co-viewing and understating true big-screen reach."", ""Expecting clicks/performance from a non-skippable, big-screen lean-back format."", ""Supplying sub-broadcast-quality creative that looks poor on a large CTV screen.""]}]}",true
integration,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use content and sponsorship integrations to embed a brand naturally within trusted editorial, entertainment or talent-led content rather than interrupting it."", ""Best when the goal is credibility, brand association, deep engagement or reaching an audience that avoids traditional ad formats."", ""Suited to brands with a clear story or product that fits a publisher's content world; forced fits read as inauthentic and damage both parties."", ""Treat as a considered, longer-lead investment — production, approvals and scheduling take time and it is not an always-on performance lever.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Select the partner for editorial and audience alignment first; the audience is inherited from the content/talent, not micro-targeted."", ""Match talent/host to brand values and target demographic — audience trust in the presenter is what transfers to the brand."", ""Choose the content environment (programme, publisher vertical, creator niche) that the target audience already actively seeks out."", ""Confirm audience reach and profile with the partner up front, since delivery depends on the content's own audience, not ad targeting.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Formats span branded content articles/videos, segment sponsorships, product integrations, host-read/talent endorsements and co-created series."", ""Co-develop the creative with the publisher/creator so it fits their voice; hand-over of a rigid brand script usually kills authenticity."", ""Build clear brand asset and messaging guardrails (must-mention points, claims that are and are not allowed) while leaving execution to the content team."", ""Plan amplification: negotiate rights to repurpose the integration across the brand's owned and paid channels to extend value beyond the original placement.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Bought on a fixed cost or bespoke package basis, not on CPM/CPC/CPCV — cost reflects production, talent and the value of the content property."", ""Negotiate deliverables explicitly: number of assets, placements, usage/repurposing rights, exclusivity and content ownership."", ""Lock in approval workflows and lead times early; editorial and talent schedules drive timing more than media flighting."", ""There is no standard in-flight performance metric to optimise against — value is set at negotiation, so the buying and briefing stage is where quality is won or lost.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Measure on reach, engagement (views, watch time, dwell, shares/comments) and brand lift (awareness, consideration, favourability) — not on direct performance metrics."", ""Set expectations with clients that integrations have no standard performance KPI and are evaluated on brand and reach outcomes."", ""Use brand lift studies, sentiment/qualitative response and content engagement benchmarks rather than CPA or ROAS."", ""Where a response path exists (unique URL/code), track it as a directional signal only, not the primary success measure.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Non-compliant disclosure — sponsored/branded content must be clearly labelled to meet ACMA rules and the AANA Code; failing to disclose risks regulatory action and reputational harm."", ""Over-scripting the brand message and stripping out the authenticity that makes integration work."", ""Choosing a partner or talent for reach alone, ignoring values/brand-safety alignment."", ""Applying performance metrics (CPA/ROAS) to a channel that has none and then judging it a failure."", ""Neglecting to secure repurposing rights, leaving expensive content stranded in one placement.""]}]}",true
progdisplay,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use programmatic display for scaled, automated, data-driven reach and always-on retargeting across many publishers from one DSP."", ""Best when cross-publisher frequency management, audience targeting and centralised optimisation matter more than hand-picked placements."", ""Strong for prospecting against audience/contextual segments and for efficient, deduplicated retargeting at scale."", ""Prefer PMP/programmatic guaranteed for premium, brand-safe context and open exchange where scale and price dominate.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Split prospecting and retargeting into separate line items with distinct creative, caps, bids and reporting."", ""Lean on first-party data, PMP audiences, seller-defined audiences and contextual targeting as third-party cookies deprecate."", ""Use the DSP to deduplicate frequency across publishers — a core reason to buy programmatically rather than direct."", ""Apply suppression/exclusion lists for converters and existing customers across the whole DSP buy.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Traffic the full IAB standard suite (300x250, 728x90, 300x600, 320x50, 320x100) to maximise addressable inventory."", ""Use responsive HTML5 with static fallbacks and keep within IAB load-weight limits to protect viewability and render speed."", ""Deploy DCO for retargeting to serve relevant products/offers dynamically from a feed."", ""Keep each unit to one message and CTA; small formats punish clutter.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Weight the PMP-vs-open-exchange mix to the brand's safety needs; PMP/PG for premium and transparency, open exchange for reach and efficiency."", ""Set cross-publisher frequency caps in the DSP (e.g. ~3/day, 10-15/week) and tighten for retargeting."", ""Optimise toward pre-bid viewability and brand-safe inventory; use pre-bid segments to avoid low-viewability, high-IVT domains before you buy."", ""Maintain allow/block lists and prune poor domains; apply supply-path optimisation (SPO) to cut hidden reseller fees.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Target viewability above 70%, verified independently (DoubleVerify or IAS) rather than trusting DSP-reported figures."", ""Monitor brand safety, IVT/fraud and made-for-advertising (MFA) exposure via the verification vendor and act on it."", ""Judge on viewable CPM, incremental conversions and assisted/view-through contribution, not raw click-through."", ""Validate incrementality (geo/holdout tests) rather than crediting every view-through in the DSP's log.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Buying cheap open-exchange inventory that is low-viewability, high-fraud or MFA, and never independently verifying it."", ""Trusting DSP-reported viewability instead of DV/IAS."", ""Failing to dedupe frequency across publishers, over-serving users the whole point of programmatic should prevent."", ""Blending prospecting and retargeting so retargeting inflates the line's apparent performance."", ""Ignoring supply-path/SPO and leaking budget to reseller fees.""]}]}",true
progvideo,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use for scaled, automated video reach across web, in-app and CTV inventory with centralised audience targeting and frequency control."", ""Best when deduplicated cross-publisher frequency and data-led optimisation matter more than hand-picked placements."", ""Deploy for awareness and consideration where completed, viewable views are the objective."", ""Prefer PMP/PG for premium, brand-safe video and CTV; use open exchange only with strict pre-bid safety controls.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Target with first-party, PMP and contextual segments; separate prospecting from retargeting of video engagers."", ""Use the DSP to cap frequency across all video publishers so completion rates are not eroded by over-exposure."", ""Sequence creative to engagers (e.g. 25/50/75% viewers) for narrative build across a flight."", ""Exclude sensitive content and apply AU geo/demo controls.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Match format to goal: 6s bumpers for reach/reminder, skippable in-stream for consideration, non-skippable 15s for guaranteed message delivery."", ""Front-load brand and message in the first 5 seconds to survive skips."", ""Design sound-on but caption for muted playback; supply vertical/square cuts for mobile and in-feed, not just 16:9."", ""Meet VAST/VPAID and duration specs per exchange so ads render and measure correctly.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Buy skippable on CPV/CPCV and non-skippable/bumpers on CPM; align model to objective."", ""Optimise toward viewable completion and cost-per-completed-view, not cheap raw CPM."", ""Use pre-bid viewability and brand-safety segments to filter inventory before bidding."", ""Rotate creative lengths and refresh through the flight to counter completion decay.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: video completion rate (VTR/VCR) and, critically, viewable completion rate — a completion out of view is not a genuine view."", ""Track cost-per-completed-view, view rate and audio-on rate; verify viewability and safety with DV/IAS."", ""Watch for auto-play/muted and fraudulent completions inflating VCR on cheap inventory."", ""For awareness, measure brand lift (recall, consideration) rather than clicks.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Counting out-of-view or auto-play-muted completions as real engaged views."", ""Chasing cheap CPMs into low-viewability, high-fraud video supply."", ""Failing to dedupe frequency across publishers and killing completion rates."", ""Running only a 16:9 master across vertical and in-feed placements."", ""Hiding the brand until after the skip point in skippable formats.""]}]}",true
progbvod,"{""version"": 1, ""sections"": [{""heading"": ""When to use"", ""items"": [""Use to buy premium AU BVOD inventory (7plus, 9Now, 10 Play, SBS On Demand) programmatically via PMP/programmatic guaranteed for automation and centralised frequency control."", ""Ideal for full-screen, non-skippable, brand-safe TV-quality reach with the added flexibility of DSP-level audience and frequency management."", ""Prioritise big-screen/CTV delivery for impact and co-viewing; add mobile/tablet for incremental reach."", ""Strong awareness/consideration channel — not a click-driven performance buy.""]}, {""heading"": ""Targeting & audience"", ""items"": [""Access broadcaster first-party data through PMP deals for demo, geo and content-genre targeting."", ""Target by programme genre/context (news, sport, drama, reality) to align brand environment."", ""Use the DSP to manage frequency across all broadcasters in one place — the main reason to go programmatic rather than siloed direct buys."", ""Account for co-viewing on the big screen when interpreting reach and effective frequency.""]}, {""heading"": ""Formats & creative specs"", ""items"": [""Standard 15s and 30s spots, full-screen and non-skippable in-stream."", ""Supply broadcast-grade video (resolution, bitrate, audio levels to spec) suitable for large CTV screens."", ""Ensure VAST tags and creative meet each broadcaster's programmatic delivery spec to avoid rejection."", ""Add a QR/interactive CTV layer where supported to give an otherwise non-clickable impression a response path.""]}, {""heading"": ""Buying & optimisation"", ""items"": [""Traded on CPCV given non-skippable full-screen delivery — you pay for guaranteed completed views."", ""Buy via PMP/PG deals with each broadcaster; premium data and inventory sit behind private deals, not open exchange."", ""Enforce cross-device and cross-broadcaster frequency capping in the DSP — over-delivery is the single biggest BVOD risk when publishers cap in isolation."", ""Set a single plan-level cap across all BVOD deals so viewers are not repeatedly hit across 7plus, 9Now and 10 Play.""]}, {""heading"": ""Measurement & KPIs"", ""items"": [""Primary KPIs: completed views, deduplicated unique reach and effective frequency; CPCV is the efficiency metric."", ""Deduplicate reach/frequency across broadcasters and against linear TV for true incremental reach."", ""Adjust for co-viewing where big-screen delivery dominates to avoid understating audience."", ""Use brand lift and reach curves for awareness evaluation, not clicks.""]}, {""heading"": ""Common pitfalls"", ""items"": [""Uncapped or siloed frequency across broadcasters causing severe over-delivery."", ""Assuming each broadcaster's own cap is enough instead of one cross-broadcaster DSP cap."", ""Ignoring co-viewing and understating big-screen reach."", ""Expecting performance/clicks from a non-skippable lean-back format."", ""Supplying sub-broadcast-quality creative that degrades on large screens.""]}]}",true
